GPST,Sequence,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2023-02-14 07:26:39.628049,68.0,-31.994006006501895,115.88325400862348,54.871024352585145,2.0,10.0,0.004993858889142857,0.004,0.017987717778285714,0.0008,0.0024,0.0051,0.7508711131428571,1.4
2023-02-14 07:26:42.154527,69.0,-31.99411407096094,115.88334525327865,54.927257800768,2.0,10.0,0.004976947392,0.004,0.017953894784,0.000776947392,0.002476947392,0.0051,0.615579136,1.4
2023-02-14 07:26:44.637390,70.0,-31.99422018746069,115.88343575898134,54.9038391488,2.0,10.0,0.004958478217142857,0.004,0.017916956434285713,0.0007584782171428571,0.002458478217142857,0.0051,0.46782573714285713,1.3415217828571429
2023-02-14 07:26:47.126756,71.0,-31.994326363538637,115.88352742160505,54.86856530666057,2.0,10.0,0.004940241289142857,0.004,0.017880482578285714,0.0007402412891428571,0.002440241289142857,0.0051,0.32193031314285714,1.3
2023-02-14 07:26:49.645185,72.0,-31.99443471470638,115.88362042865124,54.84766904502857,2.0,10.0,0.0049230423222857145,0.004,0.01794608464457143,0.0007230423222857143,0.002423042322285714,0.0051,0.1843385782857143,1.3
2023-02-14 07:26:52.130176,73.0,-31.994543706039178,115.88371162087392,54.87894312228571,2.0,10.0,0.004904649142857142,0.004,0.017909298285714286,0.0007046491428571429,0.002404649142857143,0.0051,0.037193142857142855,1.3
2023-02-14 07:26:54.623349,74.0,-31.994647569845185,115.88380226641098,54.720804721078856,2.0,10.0,0.004993691035428571,0.004,0.018087382070857146,0.0007936910354285714,0.0024936910354285717,0.0051,0.7495282834285714,1.3
2023-02-14 07:26:57.127292,75.0,-31.994754805350606,115.88389411310708,54.782009694976,2.0,10.0,0.004975974710857143,0.004,0.018051949421714286,0.0007759747108571429,0.0025,0.0051,0.6077976868571429,1.2240252891428571
2023-02-14 07:26:59.637069,76.0,-31.9948630976991,115.88398597115786,54.815654925824,2.0,10.0,0.004958466752,0.004,0.018016933504,0.000758466752,0.0025,0.0051,0.467734016,1.2
2023-02-14 07:27:02.124144,77.0,-31.994970821732117,115.88407680120147,54.83168334595658,2.0,10.0,0.004940148004571428,0.004,0.017980296009142856,0.0007401480045714286,0.0025,0.005140148004571429,0.3211840365714286,1.2
2023-02-14 07:27:04.628100,78.0,-31.99507588902156,115.88416490127915,54.86193919634285,2.0,10.0,0.0049224321462857145,0.004,0.017944864292571427,0.0007224321462857143,0.0025224321462857142,0.005122432146285714,0.17945717028571428,1.2
2023-02-14 07:27:07.125439,79.0,-31.995157139283045,115.88424036067026,54.84327379613257,2.0,10.0,0.004904479963428571,0.004,0.017913439890285713,0.0007044799634285714,0.0025044799634285713,0.005104479963428572,0.03583970742857143,1.2
2023-02-14 07:27:09.645515,80.0,-31.995110274869116,115.88433913685039,54.75435111328914,2.0,10.0,0.004994482678857143,0.004,0.018183448036571428,0.0007944826788571429,0.0025944826788571428,0.005194482678857143,0.7558614308571429,1.2
2023-02-14 07:27:12.128516,81.0,-31.995065646307108,115.88441767367408,54.717577714688,2.0,10.0,0.0049760184320000005,0.004023981568000001,0.018152036864,0.0007760184320000001,0.002576018432,0.005176018432,0.608147456,1.323981568
2023-02-14 07:27:14.623829,82.0,-31.994986536350023,115.8843805385781,54.7029510688,2.0,10.0,0.004957993892571428,0.004,0.018115987785142857,0.0007579938925714285,0.0025579938925714284,0.0052,0.46395114057142856,1.3
2023-02-14 07:27:17.144391,83.0,-31.994882729600477,115.88429309225614,54.739356847808,2.0,10.0,0.004940871104,0.004,0.018081742208,0.0007408711040000001,0.002540871104,0.0052,0.326968832,1.3
